2025-04-19 10:20:55,789 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,793 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,795 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,796 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,543 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,543 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,544 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,544 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,544 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,544 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,545 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,545 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,545 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,546 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,546 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,546 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,546 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,547 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,547 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,547 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,548 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,549 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,549 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,550 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,550 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,551 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,551 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,552 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,552 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,553 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,553 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,553 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,554 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,554 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,554 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,555 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,556 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,557 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,557 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,558 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,558 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,558 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,558 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,559 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,559 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,564 - ERROR - Failed to insert DOC-20250403-WA0033.pdf: 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`smartfile`.`files`, CONSTRAINT `files_ibfk_1` FOREIGN KEY (`user_id`) REFERENCES `users` (`id`))
2025-04-19 10:20:56,613 - INFO - Copied DOC-20250404-WA0265.pdf to Uploads\user_1\DOC-20250404-WA0265.pdf
2025-04-19 10:20:56,620 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,621 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,622 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,624 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,947 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,947 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,948 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,948 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,955 - ERROR - Failed to insert DOC-20250404-WA0265.pdf: 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`smartfile`.`files`, CONSTRAINT `files_ibfk_1` FOREIGN KEY (`user_id`) REFERENCES `users` (`id`))
2025-04-19 10:20:56,987 - INFO - Copied DOC-20250404-WA0278.pdf to Uploads\user_1\DOC-20250404-WA0278.pdf
2025-04-19 10:20:56,989 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:56,990 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,580 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,580 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,583 - ERROR - Failed to insert DOC-20250404-WA0278.pdf: 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`smartfile`.`files`, CONSTRAINT `files_ibfk_1` FOREIGN KEY (`user_id`) REFERENCES `users` (`id`))
2025-04-19 10:20:57,613 - INFO - Copied DOC-20250404-WA0279.pdf to Uploads\user_1\DOC-20250404-WA0279.pdf
2025-04-19 10:20:57,624 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,625 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,626 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,626 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,627 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,628 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,629 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,630 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,632 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,633 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,634 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,635 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,636 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,641 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,642 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,643 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,644 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,644 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,645 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,646 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,649 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,653 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,657 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,658 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,658 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,659 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,660 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,661 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,662 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,663 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,664 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,665 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,667 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,668 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,671 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,675 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,676 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,677 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:57,678 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,282 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,282 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,283 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,283 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,283 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,284 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,284 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,284 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,285 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,285 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,285 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,285 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,285 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,286 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,286 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,286 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,286 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,287 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,287 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,287 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,287 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,288 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,288 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,288 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,289 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,290 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,291 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,291 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,292 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,292 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,293 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,293 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,293 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,294 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,294 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,294 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,297 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,299 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,301 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:58,303 - ERROR - Failed to insert DOC-20250404-WA0279.pdf: 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`smartfile`.`files`, CONSTRAINT `files_ibfk_1` FOREIGN KEY (`user_id`) REFERENCES `users` (`id`))
2025-04-19 10:20:59,224 - INFO - Copied DOC-20250404-WA0284.pdf to Uploads\user_1\DOC-20250404-WA0284.pdf
2025-04-19 10:20:59,229 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:59,230 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:59,231 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:59,232 - WARNING - CropBox missing from /Page, defaulting to MediaBox
